question,type,value,stream,notes
1,int,72,,
2,Figure,plt.Figure(),,
3,list,"['Clark County',
 'Wood County',
 'Pepin County',
 'Dodge County',
 'Grant County',
 'Milwaukee County',
 'Florence County',
 'Taylor County',
 'Eau Claire County',
 'Sauk County',
 'Iron County',
 'Outagamie County',
 'Oneida County',
 'Pierce County',
 'Ashland County',
 'Kewaunee County',
 'Calumet County',
 'Adams County']",,
4,float,0.022002661530554857,,
5,float,89016.40396725974,,
6,list,"['Clark County',
 'Wood County',
 'Pepin County',
 'Dodge County',
 'Grant County',
 'Milwaukee County',
 'Florence County',
 'Taylor County',
 'Eau Claire County',
 'Sauk County',
 'Iron County',
 'Outagamie County',
 'Oneida County',
 'Pierce County',
 'Ashland County',
 'Kewaunee County',
 'Calumet County',
 'Adams County']",,
7,dict,"{'Clark County': 15076.0,
 'Wood County': 34088.0,
 'Pepin County': 3579.0,
 'Dodge County': 37005.0,
 'Grant County': 21581.0,
 'Milwaukee County': 418053.0,
 'Florence County': 4780.0,
 'Taylor County': 10582.0,
 'Eau Claire County': 42151.0,
 'Sauk County': 29708.0,
 'Iron County': 5999.0,
 'Outagamie County': 73149.0,
 'Oneida County': 30125.0,
 'Pierce County': 16132.0,
 'Ashland County': 9656.0,
 'Kewaunee County': 9304.0,
 'Calumet County': 19695.0,
 'Adams County': 17436.0}",,
8,float,0.9652534544116037,,
9,float,0.03704265206670459,,
10,str,'POP100 = 2.39*HU100 + -7910.46',,
11,float,0.9958323488562859,,
12,Figure,plt.Figure(),,
13,int,13,,
14,Figure,plt.Figure(),,
15,float,0.46705544316564085,,
16,Figure,plt.Figure(),,
17,Figure,plt.Figure(),,
18,NoneType,None,,
19,NoneType,None,,
